Year,Month,Day,Period,309_WIND_1,317_WIND_1,303_WIND_1,122_WIND_1
2020,1,1,1,146,782.7,826.2,698.4
2020,1,1,2,143.9,787.8,822.8,701.6
2020,1,1,3,144.2,785.8,827.1,701.7
2020,1,1,4,143.4,783.4,834.3,702.1
2020,1,1,5,143.7,782.9,832.3,701.3
2020,1,1,6,146.6,787.1,824.2,703.9
2020,1,1,7,146.6,785.7,821.3,702.7
2020,1,1,8,145.9,781.3,823.9,696.6
2020,1,1,9,145.2,776.1,820.3,692.8
2020,1,1,10,145.4,772.5,813.2,695.9
2020,1,1,11,144.9,773.4,806.5,700.3
2020,1,1,12,145.8,771,817.3,700
2020,1,1,13,144.5,768.8,819.2,702.5
2020,1,1,14,144.2,777.3,811.2,697.8
2020,1,1,15,144.5,779.9,800.4,697
2020,1,1,16,145,781.8,796.2,700.4
2020,1,1,17,146.1,777.7,792.6,704.4
2020,1,1,18,147.6,776.6,796.5,701.4
2020,1,1,19,146.8,779.6,797.8,697.6
2020,1,1,20,146.9,777,799.1,701.7
2020,1,1,21,147.3,775.7,800.3,703.3
2020,1,1,22,145.7,778.4,796.2,699.9
2020,1,1,23,144,776.3,797.6,697.2
2020,1,1,24,144.2,769,786.2,696.8
2020,1,1,25,147.7,766.2,775.4,699.5
2020,1,1,26,147.4,761.2,771,703.9
2020,1,1,27,146.7,758.1,768.2,699.5
2020,1,1,28,146.3,751.9,773.2,698.9
2020,1,1,29,146.1,745.3,782,703.3
2020,1,1,30,146.7,738.5,778,704.1
2020,1,1,31,145.9,735.7,771.5,700.9
2020,1,1,32,145.4,718.4,766.5,694.4
2020,1,1,33,145.6,702.1,762.1,694.5
2020,1,1,34,145.6,692.4,760.3,700.4
2020,1,1,35,143.8,704.5,753.6,702.8
2020,1,1,36,143.9,724.9,750.9,701.7
2020,1,1,37,145,733.4,749.5,694.4
2020,1,1,38,146.3,723.9,749.2,694.6
2020,1,1,39,146.3,725.4,752.5,697.5
2020,1,1,40,143.7,750,753.9,700.3
2020,1,1,41,143.1,763.6,759.7,699.9
2020,1,1,42,145.3,766.5,766.4,696.4
2020,1,1,43,145.2,764.4,766.1,697.7
